[null]
[ed, s, en]
-449012742,European spider crab,centollo ,NONE
-448780505,underage,,NOUN
-448777372,underdog,tapado,NOUN
-448769872,underlie,subyacer,VERB
-448766019,underpin,apuntalar,NONE
-448761980,undertow,contracorriente,NOUN
-448732260,magnetic moment,momento magnético,NOUN
-448663731,spermicide,espermicida,NOUN
-448314714,fivesome,quinteto,NOUN
-448302919,hypothalamus,hipotálamo,NOUN
-447709917,turbulent,tempestuoso,ADJECTIVE
-447622783,schematize,esquematizar,VERB
-447457178,Ivorian,marfileño ,NONE
-447448092,perfect fifth,quinta justa,NOUN
-447093464,continental drift,deriva continental,NOUN
-446801052,mercantile,mercantil,ADJECTIVE
-446371172,hydracid,hidrácido,NOUN
-446343239,polycarbonate,policarbonato,NOUN
-446107120,paternity,,NOUN
-446072346,hexoxide,hexóxido,NOUN
-445950368,hydrogen,hidrógeno,NOUN
-445933413,hydroxyl,hidroxilo ,NONE
-445850057,sportsmanship,deportividad,NOUN
-445837779,editorialize,editorializar,VERB
-445048625,in agreement,de acuerdo,NONE
-444496425,barbed wire,alambre de púas ,NONE
-444324458,nagorno-karabakh,Nagorno-Karabaj,PROPOSITIOIN
-443865158,mojibake,mojibake,NOUN
-443831671,kidnapping,secuestro,NOUN
-443616988,methanal,,NOUN
-443616554,methanol,metanol,NOUN
-443504403,polar fox,,NOUN
-442566988,exoplanet,exoplaneta,NOUN
-442433067,krypton,criptón,NOUN
-442259334,cladogram,cladograma,NOUN
-442181478,telephone booth,cabina telefónica,NOUN
-442063995,north frisian,frisio norteño,PROPOSITIOIN
-441829656,symphony orchestra,orquesta sinfónica,NOUN
-441792286,indefinitely,indefinidamente,ADVERB
-441698326,analytical engine,máquina analítica,NOUN
-441597890,honeysuckle,madreselva,NOUN
-441283752,great britain,Gran Bretaña,PROPOSITIOIN
-440696583,showmanship,espectacularidad,NOUN
-439758764,alterability,alterabilidad,NOUN
-439466244,birth control,control de la natalidad,NOUN
-439421444,past historic tense,pretérito,NOUN
-439042224,slipstick,,NOUN
-438773222,stone marten,,NOUN
-438199955,perfect pitch,,NOUN
-438101150,cosecant,cosecante,NOUN
-437737322,conscious,consciente,ADJECTIVE
-437475123,conscript,reclutado,NONE
-437251504,greenlandish,idioma groenlandés,PROPOSITIOIN
-436994448,basal ganglion,ganglio basal,NOUN
-436986394,ping pong,tenis de mesa,NOUN
-436754102,metonymy,metonimia,NOUN
-436458083,circumcised,circuncidado,NONE
-435737481,consensus,consenso,NOUN
-435567843,impaired,borracho,ADJECTIVE
-435539831,kiribati,Kiribati,PROPOSITIOIN
-435402063,thistledown,vilano ,NONE
-435342018,nautical mile,milla náutica,NOUN
-434998132,continental quilt,,NOUN
-434702879,juggling,malabarismo,NOUN
-434568580,sandcastle,castillo de arena,NOUN
-434275690,cosigner,,NOUN
-434217929,pyromaniac,pirómano,NOUN
-434214934,pineapple,piña ,NONE
-434182512,undulate,ondear,NONE
-434048563,telephone kiosk,,NOUN
-433984565,elegantly,elegantemente,ADVERB
-433740374,suspiciously,sospechosamente,ADVERB
-433595629,cachalot,,NOUN
-433542231,continental shelf,plataforma continental,NOUN
-433507721,for God's sake,por Dios,NONE
-433420398,southern hemisphere,hemisferio sur,NOUN
-433164204,tic-tac-toe,tres en raya ,NONE
-433078442,agriculturist,agrícola,ADJECTIVE
-433078240,agriculturize,agriculturizar,VERB
-432883582,feathered,emplumado,ADJECTIVE
-432817012,measure word,clasificador,NOUN
-432623838,burdensome,exigente,NONE
-432410445,safe and sound,sano y salvo,ADJECTIVE
-432269985,unintelligible,ininteligible,ADJECTIVE
-432269965,unintelligibly,ininteligiblemente,ADVERB
-432247100,figurative,figurativo,NONE
-432211819,central asia,Asia Central,PROPOSITIOIN
-432199161,central bank,banco central,NOUN
-432061423,dropdown,,NOUN
-432026586,cook islands,Islas Cook,PROPOSITIOIN
-431923342,tarragon,estragón,NOUN
-431587107,pine nut,piñón,NOUN
-431554634,impetigo,impétigo,NOUN
-431495543,dropwort,filipéndula,NOUN
-431492618,double agent,agente doble,NOUN
-431404255,hood rat,(Chile) chorro,NONE
-431049710,figure out,deducir,NONE
-430892083,encephalon,encéfalo,NOUN
-430635313,cosmetic,cosmético,NOUN
-430550578,cambodian,camboyano,ADJECTIVE
-430428480,nanotechnology,nanotecnología,NOUN
-430263114,regular polygon,polígono regular,NOUN
-429928738,panchen lama,Panchen Lama,NOUN
-429690810,tartness,ácido,NONE
-429590381,pinecone,,NOUN
-428915004,figurehead,mascarón de proa,NOUN
-428842222,cigarette,cigarrillo,NOUN
-428730984,cigarillo,cigarillo,NOUN
-428697797,lithium hydride,hidruro de litio,NOUN
-428665287,according to,según,NONE
-428473994,double doors,puertas dobles,NOUN
-428215347,drive someone crazy,alocar,NONE
-428016397,Euro-sceptic,euroescéptico ,NONE
-427863986,enthusiastic,entusiasmado,NONE
-427803794,fair game,blanco legítimo,NOUN
-427730607,kindhearted,de buen corazón,ADJECTIVE
-427525456,fair play,juego limpio,NOUN
-427463102,accordionist,acordeonista,NOUN
-427352489,commercially,comercialmente,ADVERB
-427256419,usb port,puerto USB,NOUN
-427039519,reporter,reportero,NOUN
-426519785,consonant,consonante,ADJECTIVE
-426199863,mountainboarding,mountainboarding,NOUN
-426112178,labyrinthiform,,ADJECTIVE
-425985346,metropolis,,NOUN
-425859884,rheumatic,reumático,ADJECTIVE
-425423387,implicit,implícito,ADJECTIVE
-425304918,drowning,ahogamiento,NOUN
-425298215,sapsucker,chupasavia,NOUN
-425143934,embezzlement,apropiación indebida ,NONE
-424538166,reprisal,represalia,NOUN
-424423240,liturgical,litúrgico,ADJECTIVE
-424225955,constitutionalism,constitucionalismo,NOUN
-423966098,personality,personalidad,NOUN
-423965932,personalize,personalizar,VERB
-423960062,box spring,somier,NOUN
-423949425,strabismus,estrabismo,NOUN
-423543721,G-string, tanga ,NONE
-423481879,processed cheese,queso procesado,NOUN
-423421288,embodiment,encarnación,NOUN
-422741812,aphrodite,Afrodita,PROPOSITIOIN
-422557359,impolite,maleducado,NONE
-422368494,importer,importador,NOUN
-422338703,imposter,,NOUN
-422338393,impostor,impostor ,NONE
-422277306,constancy,constancia,NOUN
-422100750,data bank,,NOUN
-422037823,mesosphere,mesosfera,NOUN
-422004529,freelance,trabajador autónomo,NONE
-421982628,republic,república,NOUN
-421970972,data flow,,NOUN
-421851921,hooligan,gamberro ,NONE
-421816115,providential,providencial,ADJECTIVE
-421783177,constrain,constreñir,NONE
-421764137,construct,construir,VERB
-421617744,dire straits,gran aprieto,NOUN
-421541392,data type,tipo de dato,NOUN
-421075822,freemason,francmasón,NOUN
-421038070,consulate,consulado,NOUN
-420926427,little wonder,,NOUN
-420917708,serigraphy,,NOUN
-420762628,contemplate,contemplar,VERB
-420382407,random variable,variable aleatoria,NOUN
-420129794,novaya zemlya,Nueva Zembla,PROPOSITIOIN
-420118572,harmonica,armónica ,NONE
-420107102,anguished,angustiado,NONE
-419866705,imprison,encarcelar,NONE
-419680605,here you are,aquí tienes ,NONE
-419461362,southern bottlenose whale,zifio calderón austral,NOUN
-419365425,great pyramid of giza,Gran Pirámide de Giza,PROPOSITIOIN
-419306927,abomination,abominación ,NONE
-418581028,Scotsman,escocés ,NONE
-418554529,Scottish,escocés ,NONE
-418308599,strangely,extrañamente,ADVERB
-417852972,crossword puzzle,,NOUN
-417847306,hoopster,,NOUN
-417258576,impudent,insolente,NONE
-417220007,vanishment,,NOUN
-416956631,impunity,impunidad,NOUN
-416915255,roastbeef,,NOUN
-416843921,impure s,s impura,NOUN
-416841559,impurely,impuramente,ADVERB
-416837467,impurity,impureza,NOUN
-416606525,motocross,motocross,NOUN
-416547759,siberian husky,husky siberiano,NOUN
-416533088,screenplay,guion,NONE
-416447130,screenshot,pantallazo,NOUN
-416232550,bike-and-ride,depósito de bicicletas,NOUN
-416197540,strappado,garrucha,NOUN
-415746757,acrylamide,acrilamida,NOUN
-415538281,internationale,la Internacional,PROPOSITIOIN
-415512734,us american,estadounidense,NOUN
-415401288,scrabble,,VERB
-415376468,berry sugar,,NOUN
-415360708,iridescence,iridiscencia,NOUN
-415256745,absolute pitch,,NOUN
-415203516,fixed asset,activo fijo,NOUN
-415090619,comparative,comparativo,NOUN
-415073587,scramble,revolver,VERB
-415042508,manchuria,Manchuria,PROPOSITIOIN
-414949776,likelihood,verosimilitud,NOUN
-414234055,overlapping,solapado,NONE
-414049721,welshman,galés,NOUN
-413784394,webmaster,webmaster,NOUN
-413605925,astonishment,asombro ,NONE
-412944526,stratagem,estratagema,NOUN
-412827930,pinwheel,ventolera ,NONE
-412825248,strategic,estratégico,ADJECTIVE
-412479396,symbiosis,simbiosis,NOUN
-412478451,symbiotic,simbiótico,ADJECTIVE
-412248832,unending,interminable,ADJECTIVE
-412104735,straw man,hombre de paja,NOUN
-411927383,vulpecula,Vulpecula,PROPOSITIOIN
-411726628,screamer,aruco ,NONE
-411724550,irascible,irascible,ADJECTIVE
-411652530,weather vane,veleta,NOUN
-411550205,acquaintance,amistad ,NONE
-411215641,draconian,draconiano,ADJECTIVE
-411020752,contagion,contagio,NOUN
-410983370,methylation,metilación,NOUN
-410956671,container,recipiente,NOUN
-410887121,cadastre,catastro,NOUN
-410763711,humankind,humanidad ,NONE
-410557331,concentration,concentración,NOUN
-409575528,geological,,ADJECTIVE
-409534901,universal,universal,ADJECTIVE
-409490351,unexpected,inesperado,ADJECTIVE
-409322548,entomologist,entomólogo ,NONE
-409260671,zealand,Selandia,PROPOSITIOIN
-409246985,zealous,celoso,NONE
-409241840,completeness,completitud,NOUN
-409086488,freezable,congelable,ADJECTIVE
-409065506,czechoslovakia,Checoslovaquia,PROPOSITIOIN
-408932681,typographer,,NOUN
-408932572,typographic,,ADJECTIVE
-408877566,formaldehyde,formaldehído,NOUN
-408457345,number plate,,NOUN
-408333036,poacher, cazador furtivo ,NONE
-408217362,insignificant,insignificante,ADJECTIVE
-408058233,zebulun,Zabulón,PROPOSITIOIN
-408013120,scribble,garabatear,VERB
-407905268,tasmania,Tasmania,PROPOSITIOIN
-407894775,any more,ya,NONE
-407807415,hawk moth,esfíngido,NOUN
-407036957,symbolise,simbolizar,VERB
-407036949,symbolism,simbolismo,NOUN
-407036740,symbolize,simbolizar,VERB
-407031543,symbology,simbología,NOUN
-406359984,sad to say,,ADVERB
-406349635,behaviour,comportamiento,NOUN
-406343377,pochard,porrón,NOUN
-405698375,degrees of comparison,grados de comparación,NOUN
-405660137,one by one,uno por uno,ADVERB
-405568764,podcast,podcast,NOUN
-405566587,zeeland,Zelanda,PROPOSITIOIN
-405202842,parasitology,parasitología,NOUN
-405200710,podolsk,Podolsk,PROPOSITIOIN
-404617737,hear on the grapevine,,VERB
-404601491,proto-slavic,protoeslavo,PROPOSITIOIN
-404562712,experimental,experimental,ADJECTIVE
-403577637,urethroscope,uretroscopio,NOUN
-403577617,urethroscopy,uretroscopia,NOUN
-403427916,continent,continente,NOUN
-403422325,tower over,sobresalir,VERB
-403224620,hopanoid,hopanoide,NOUN
-402861491,erbium oxide,erbia ,NONE
-402313921,speed of sound,velocidad del sonido,NOUN
-402230854,pole star,estrella polar,NOUN
-401966705,hair-brush,,NOUN
-401894588,scrounge,,NOUN
-401799116,pareidolia,pareidolia,NOUN
-401597630,minimalism,minimalismo,NOUN
-401597623,minimalist,minimalista,ADJECTIVE
-401479196,fixed point,punto fijo,NOUN
-401475307,Venezuelan,venezolano,NONE
-401332614,tastebud,papila gustativa,NOUN
-400785433,bolshevik,bolchevique,NOUN
-400725898,decapitate,decapitar,VERB
-400605635,pointer,,NOUN
-400553110,sound wave,onda sonora ,NONE
-399728007,paleontology,paleontología,NOUN
-399620451,fixed route,ruta fija,NOUN
-399599403,hopeless,desesperado,ADJECTIVE
-399369069,honourably,honorablemente,ADVERB
-399364432,osmoregulation,osmorregulación,NOUN
-399322145,surface tension,tensión superficial,NOUN
-399254414,kiss-ass,,NOUN
-399156930,geisha ball,,NOUN
-399118032,zelkova,olmo chino ,NONE
-398673700,xianggang,,PROPOSITIOIN
-398349356,zemfira,Zemfira,PROPOSITIOIN
-398119650,polecat,turón,NOUN
-398109809,polemic,polémico,ADJECTIVE
-397899528,pollock,carbonero  ,NONE
-397756334,compartment,compartimiento,NOUN
-397688575,once again,una vez más,ADVERB
-397519558,polygon,polígono,NOUN
-397514098,polymer,polímero,NOUN
-397512534,polynya,polinia,NOUN
-396878163,green bean,bajoca  ,NONE
-396856277,pompous,majestuoso ,NONE
-396851699,green card,tarjeta verde ,NONE
-396387821,scrutiny,escrutinio,NOUN
-396381951,scrutore,,NOUN
-396255754,green wave,onda verde,NOUN
-395890884,paleanthropology,,NOUN
-395819836,pontiff,papa ,NONE
-395646883,teetotaler,abstemio ,NONE
-395527257,conventionalism,convencionalismo,NOUN
-395467894,unfairly,,ADVERB
-395168290,unfasten,desabrochar,VERB
-394726400,fixation,obsesión,NOUN
-394473095,popcorn,palomitas de maíz  [especially Costa Rica,NONE
-394174419,typewriter,máquina de escribir,NOUN
-394071055,red cross,Cruz Roja,PROPOSITIOIN
-393940263,popular,popular,ADJECTIVE
-393471451,molasses,melaza,NOUN
-393160633,interrogation,interrogatorio,NOUN
-393142665,requinto,requinto,NOUN
-393012077,red dwarf,enana roja,NOUN
-392910375,mandatory,obligatorio,NONE
-392857049,Honduran,hondureño,NONE
-392631952,porcine,porcino,ADJECTIVE
-392393935,zestful,brioso,ADJECTIVE
-392375512,contumely,injuria ,NONE
-392192840,contusion,contusión,NOUN
-392129350,portend,presagiar,VERB
-392125836,portico,pórtico,NOUN
-392125465,portion,porción ,NONE
-392117239,portray,describir,VERB
-392016180,genetic engineering,ingeniería genética,NOUN
-391967672,statistically,estadísticamente,ADVERB
-391235450,possess,poseer,VERB
-391234137,moldavia,,PROPOSITIOIN
-391209889,postage,franqueo,NOUN
-391205695,postern,portillo ,NONE
-391198534,postman,,NOUN
-391190328,posture,postura,NOUN
-390851281,potable,potable,ADJECTIVE
-390817298,moldovan,,ADJECTIVE
-390658698,red giant,gigante roja,NOUN
-390640203,pothead,marihuanero ,NONE
-390630251,pothole,bache,NOUN
-390488311,propositional calculus,,NOUN
-390282163,pottery,alfarería,NOUN
-390251898,molecule,molécula,NOUN
-390114468,molehill,topera,NOUN
-389582555,poultry,carne de ave,NONE
-389535362,obligation,comprometerse,NOUN
-389180179,cappadocia,Capadocia,PROPOSITIOIN
-388869431,poverty,pobreza,NOUN
-388821015,humiliating,humillante,ADJECTIVE
-388820977,humiliation,humillación,NOUN
-388515267,contentious,pendenciero,NONE
-388405929,contentment,satisfacción,NOUN
-388186410,insensate,insensato,ADJECTIVE
-388094675,incessantly,incesantemente,NONE
-387387969,nagorny karabakh,,PROPOSITIOIN
-386922702,ribonucleic acid,ácido ribonucleico,NOUN
-386778054,sulfur oxide,óxido de azufre,NOUN
-386443466,northern territory,Territorio del Norte,PROPOSITIOIN
-386431954,acoustical,acústico,ADJECTIVE
-386264332,bartholomew,Bartolomé,PROPOSITIOIN
-386166856,sideproduct,,NOUN
-386157659,hamstring,,NOUN
-385339870,utilization,,NOUN
-385234542,frying pan,sartén,NOUN
-384063735,serotonin,serotonina,NOUN
-383881737,cave painting,pintura rupestre,NOUN
-383537864,reimbursement,reembolso,NOUN
-383431522,Trinidadian and Tobagonian,trinitense ,NONE
-383376433,landing strip,pista de aterrizaje,NOUN
-383113862,red onion,cebolla roja,NOUN
-382981838,seamstress,costurera,NOUN
-382948717,iced coffee,café helado,NOUN
-382673436,seismologist,sismólogo,NOUN
-382573173,red panda,panda rojo,NOUN
-382343642,front page,portada,NOUN
-382270350,front room,,NOUN
-382097433,marseilles,Marsella,PROPOSITIOIN
-381777288,make head or tail of,sin pies ni cabeza,VERB
-381615798,politically,políticamente,ADVERB
-381450011,kitesurf,hacer kitesurf,NONE
-381063715,michoacán,Michoacán,PROPOSITIOIN
-380615853,english channel,canal de la Mancha,PROPOSITIOIN
-380144262,cranberry juice,jugo de arándano,NOUN
-380132591,tortfeasor,agraviador ,NONE
-379899280,unfreeze,,VERB
-379755083,red scare,temor rojo,NOUN
-379374497,ziggurat,zigurat,NOUN
-379193364,twilitten,,ADJECTIVE
-379169917,remote control,telemando ,NONE
-378935949,the road to hell is paved with good intentions,el infierno está lleno de buenas intenciones,NONE
-378908559,somersault,voltereta  (by a child),NONE
-378882880,interoperability,interoperabilidad,NOUN
-378550030,I miss you,te echo de menos,NONE
-378174761,skin magazine,revista porno,NOUN
-377986432,diagonalizable,diagonalizable,ADJECTIVE
-377826192,cyclophilin,ciclofilina,NOUN
-376907387,assassin,asesino,NOUN
-376490934,marionette,marioneta,NOUN
-375878619,logical connective,conectiva lógica,NOUN
-375544128,frequency modulation,modulación de la frecuencia,NOUN
-375214647,sleepiness,sueño ,NONE
-374873871,ichthyological,ictiológico,ADJECTIVE
-374156722,Senegalese,senegalés ,NONE
-373930938,tyrannically,tiránicamente,ADVERB
-373537859,cloud nine,séptimo cielo,NOUN
-373498086,coumarin,cumarina,NOUN
-373430443,xerography,xerografía,NOUN
-373408302,assemble,reunir,NONE
-373213113,assessor,evaluador ,NONE
-372688583,tattered,andrajoso,ADJECTIVE
-372339803,weltanschauung,,NOUN
-372279653,poliomyelitis,poliomielitis,NOUN
-372263335,cold as ice,frígido,NONE
-372248314,pipefish,pez pipa,NOUN
-372087152,count on,contar (con),VERB
-372020714,countess,condesa,NOUN
-371802566,transitive verb,verbo transitivo,NOUN
-371548636,republic of lithuania,República de Lituania,PROPOSITIOIN
-370879394,brown bear,oso pardo,NOUN
-370703978,brown hare,,NOUN
-370699145,pulmonary tuberculosis,tuberculosis,NOUN
-370466367,conundrum,interrogante,NOUN
-370408323,coupling,,NOUN
-369841969,microscopic,microscópico,ADJECTIVE
-369789963,comprehend,comprender,VERB
-369025524,san marino,San Marino,PROPOSITIOIN
-368665674,hygienic,higiénico,ADJECTIVE
-368626485,ambidextrous,ambidextro,ADJECTIVE
-368568972,courland,Curlandia,PROPOSITIOIN
-368326624,courtesy,cortesía,NOUN
-367796051,shopping trolley,,NOUN
-367768068,overestimate,sobrestimar,VERB
-367719544,come to nought,,VERB
-367677413,innkeeper,posadero ,NONE
-367657126,onion dome,cúpula acebollada,NOUN
-367609247,kittsian,sancristobaleño,ADJECTIVE
-367597542,kumquat,kumquat ,NONE
-367519218,know-how,know-how,NOUN
-367245785,onion ring,aro de cebolla,NOUN
-367053460,kung fu,kung-fu,NOUN
-366842587,ungainly,desgarbado,ADJECTIVE
-366804327,kunming,Kunming,NOUN
-366746394,breakthrough,brecha,NOUN
-366209639,on your mark, get set,NONE
-365522017,applicable,aplicable,NONE
-365504613,applicator,aplicador,NOUN
-365462103,twentysomething,veintitanto,NOUN
-364883025,life belt,salvavidas,NOUN
-364844463,electric car,vehículo eléctrico de batería ,NONE
-364657029,ukraine,Ucrania,PROPOSITIOIN
-364542040,shooting guard,escolta,NOUN
-364514968,fair trade,comercio justo,NOUN
-364467415,creationary,creacionario,ADJECTIVE
-364459708,creationism,creacionismo,NOUN
-364459701,creationist,creacionista,NOUN
-364402476,life ring,,NOUN
-364144185,assonant,asonante,ADJECTIVE
-364007057,assorted,surtido,ADJECTIVE
-363916344,marsh buck,antílope jeroglífico ,NONE
-363098935,commercial at,arroba,NOUN
-363044449,pathology,patología,NOUN
-362555165,mycelium,micelio,NOUN
-362430148,cream of wheat,,NOUN
-362336745,herbaceous,herbáceo,ADJECTIVE
-361974825,credit card,tarjeta de crédito,NOUN
-361829465,sanderling,playero ,NONE
-361562671,ukulele,ukelele,NOUN
-361497125,kutenai,kutenai,PROPOSITIOIN
-361409384,ouagadougou,Uagadugú,PROPOSITIOIN
-361295720,momentum,cantidad de movimiento,NONE
-360928391,svalbard and jan mayen islands,Svalbard y Jan Mayen,PROPOSITIOIN
-360723174,gray water,aguas grises,NOUN
-360617630,sleepyhead,dormilón ,NONE
-360600736,electroencephalography,electroencefalografía,NOUN
-360474184,operating theatre,quirófano,NOUN
-360465110,Sorbian,sorbio ,NONE
-360401798,compromise,acuerdo ,NONE
-360310131,apostolic succession,sucesión apostólica,NOUN
-360231482,tennis player,tenista,NOUN
-360110145,oblique case,caso oblicuo,NOUN
-359974182,indulgent,indulgente,ADJECTIVE
-359830535,seminarist,seminarista,NOUN
-359459203,dependent variable,variable dependiente,NOUN
-359131247,aquatic warbler,carricerín cejudo,NOUN
-359117227,clownfish,pez payaso,NOUN
-358849942,kuwaiti,kuwaití,ADJECTIVE
-358645168,amniotic fluid,agua del amnios,NOUN
-358231065,post-traumatic stress disorder,trastorno por estrés postraumático,NOUN
-358197112,birds of a feather flock together,dime con quién andas y te diré quién eres,NONE
-358004084,meanwhile,mientras tanto,ADVERB
-357873276,mythology,mitología,NOUN
-357641089,wellington,,NOUN
-357261232,paleolithic,paleolítico,NOUN
-357151474,nucleosome,nucleosoma,NOUN
-357127728,nucleotide,nucleótido,NOUN
-356615680,shocking,horrible,VERB
-356500211,abstract of title,resumen de título,NOUN
-356296520,canine tooth,canino ,NONE
-356107994,pornophobe,pornofóbico,NOUN
-355635818,covalent,covalente,ADJECTIVE
-355124615,maternally,maternalmente,ADVERB
-355036814,shoebill,picozapato,NOUN
-354980719,sleeping beauty,La Bella Durmiente,PROPOSITIOIN
-354852114,shoehorn,calzador,NOUN
-354746878,shoelace,cordón ,NONE
-354661761,sagacious,sagaz,ADJECTIVE
-354589504,histrionic personality disorder,trastorno histriónico de la personalidad,NOUN
-354492151,shoetree,,NOUN
-354456907,topological space,espacio topológico,NOUN
-354435827,attendant,concomitante,NONE
-354160018,grandmaster,,NOUN
-353997171,indestructible,indestructible,ADJECTIVE
-353951458,attention,atención,NOUN
-353951250,attentive,atento,ADJECTIVE
-353667638,raspberry,color frambuesa,ADJECTIVE
-353327285,reportage,reportaje,NOUN
-353314611,mycology,micología,NOUN
-353155118,glutenin,glutenina,NOUN
-352861778,life-buoy,,NOUN
-352785175,exosphere,exosfera,NOUN
-352707126,gluttony,gula,NOUN
-352320512,sweet dreams,¡que pases buenas noches!,NOUN
-352183285,screech owl,autillo,NOUN
-351885996,covenant,cláusula,NOUN
-351767064,coverage,cobertura,NOUN
-351766902,coverall,braga  ,NONE
-351748630,covertly,,ADVERB
-351639186,solar system,sistema solar,NOUN
-350933271,hydrochloric acid,ácido clorhídrico,NOUN
-350895717,research,investigación,NOUN
-350698347,strangulation,estrangulación,NOUN
-350553325,resemble,,VERB
-349866426,flatfooted,,ADJECTIVE
-349601577,indefinite integral,integral indefinida,NOUN
-349586093,sommelier,sumiller,NOUN
-349561753,convexity,convexidad,NOUN
-349438983,caffeine,cafeína,NOUN
-349378602,cylinder,cilindro,NOUN
-349012300,packing plant,empacadora,NOUN
-348883259,I'm ... year(s) old,tengo ... año(s) de edad,NONE
-348834173,switch off,apagar,VERB
-348775957,hot mess,lío ,NONE
-348328573,bill of lading,conocimiento de embarque,NOUN
-348257909,astatine,astato,NOUN
-348095481,sooner or later,tarde o temprano,ADVERB
-348091500,tetrarchy,tetrarquia,NOUN
-347710488,babyish,infantil,NONE
-347707723,babylon,Babilonia,PROPOSITIOIN
-347701176,babysit,cuidar de los niños,NONE
-347319719,had best,,VERB
-347301078,bachata,bachata,NOUN
-347201456,backlit,retroiluminado,ADJECTIVE
-347177772,Spanish,español ,NONE
-347124400,resident,residente ,NONE
-347048589,Spartan,espartano ,NONE
-346941371,typological,tipológico,ADJECTIVE
-346927590,bactria,Bactriana,PROPOSITIOIN
-346816664,resinous,resinoso,ADJECTIVE
-346775423,switcheroo,cambiazo,NOUN
-346577575,badajoz,Badajoz,PROPOSITIOIN
-346492330,subconscious,subconsciente,ADJECTIVE
-346194980,badness,maldad,NOUN
-345986545,chickadee,carbonero,NOUN
-345972236,chickasaw,chickasaw,PROPOSITIOIN
-345930750,badware,,NOUN
-345636073,head cheese,,NOUN
-345322429,falkland islands,islas Malvinas,PROPOSITIOIN
-344623246,asterisk,asterisco,NOUN
-344623244,asterism,asterismo,NOUN
-344617797,asteroid,asteroide ,NONE
-344311138,horchata,horchata,NOUN
-344275218,habakkuk,Habacuc,PROPOSITIOIN
-344000344,petit jury,jurado de juicio,NOUN
-343975935,coffee pot,cafetera,NOUN
-343674406,ferric oxide,óxido férrico,NOUN
-343637184,baggage,equipaje,NOUN
-343585966,patiently,pacientemente,ADVERB
-343488302,baglady,,NOUN
-343361098,bagpipe,,NOUN
-343249225,optic nerve,nervio óptico,NOUN
-343143191,shot put,lanzamiento de peso ,NONE
-342881049,bahamas,las Bahamas,PROPOSITIOIN
-342502716,mend one's ways,enmendarse,VERB
-342500282,shortcut,atajo,NOUN
-342424968,cacophony,cacofonía,NOUN
-341978091,cameraman,camarógrafo ,NONE
-341922953,shoshone,shoshón,PROPOSITIOIN
-341633529,bailiff,alguacil,NOUN
-341627284,bailout,suministro de escapada,NOUN
-341483728,jugular vein,yugular,NOUN
-341329399,resolute,resoluto,ADJECTIVE
-341289208,resonant,resonante,ADJECTIVE
-341289037,resonate,resonar,VERB
-341212465,grandmother,abuela,NOUN
-341064690,resource,recurso ,NONE
-340450963,condensation,condensación,NOUN
-340374068,show off,chulear,VERB
-340323263,response,respuesta,NOUN
-339988315,baker's,panadería,NOUN
-339986785,show-off,exhibicionista,NOUN
-339967584,shoulder,hombro,NOUN
-339793684,baklava,baclava,NOUN
-339244912,shoveler,cuchara común ,NONE
-339185956,balance,balanza,NOUN
-339183313,ferrous oxide,óxido ferroso,NOUN
-339125052,balcony,balcón,NOUN
-339073915,baleful,funesto,ADJECTIVE
-338932644,ball up,apelotonar,VERB
-338870237,ballast,lastre,NOUN
-338856913,balloon,globo,NOUN
-338779294,balochi,belucho,PROPOSITIOIN
-338768800,baloney,mortadela,NOUN
-338768696,balonie,,NOUN
-338706840,principled,de principios,ADJECTIVE
-338688742,reciprocal,mutuo,NONE
-338402503,impermeability,impermeabilidad,NOUN
-338347745,showdown,enfrentamiento,NOUN
-338244676,bambara,bambara,PROPOSITIOIN
-338244465,night emission,,NOUN
-338025441,gazehound,,NOUN
-337261910,bandage,venda ,NONE
-337261697,bandana,paliacate,NOUN
-337162673,bangkok,Bangkok,PROPOSITIOIN
-337042440,panentheism,panenteísmo,NOUN
-336855454,banquet,comida festiva ,NONE
-336727187,restless,inquieto,ADJECTIVE
-336609940,habitual,habitual,ADJECTIVE
-336545092,restrict,restringir,VERB
-336538961,restroom,servicio  ,NONE
-336258217,monarchy,monarquía,NOUN
-336212065,monastir,Bitola,PROPOSITIOIN
-335916749,english horn,,NOUN
-335647285,inebriated,ebrio,ADJECTIVE
-335507203,astonish,asombrar,NONE
-335495808,practicability,viabilidad ,NONE
-334977838,tetroxide,tetróxido,NOUN
-334930152,baptise,,VERB
-334930144,baptism,bautismo,NOUN
-334930137,baptist,bautista,NOUN
-334929935,baptize,bautizar,VERB
-334855476,hormonal,hormonal,ADJECTIVE
-334770250,in-line skate,patín en línea,NOUN
-334769605,I've been shot,me han disparado,NONE
-334534365,capital city,capital,NOUN
-334423241,capital gain,plusvalía,NOUN
-334327886,hornbeam,carpe,NOUN
-334323702,hornbill,cálao,NOUN
-334274855,emotional intelligence,inteligencia emocional,NOUN
-334200353,investigate,examinar,VERB
-334196444,harpooner,arponero,NOUN
-334059020,capital ship,buque capital,NOUN
-334056805,anyplace,,ADVERB
-333627071,barbara,Bárbara,PROPOSITIOIN
-333623402,barbell,barra con pesas ,NONE
-333584256,barcode,código de barras,NOUN
-333537649,bareass,a culo pelado,NOUN
-333536632,barebum,nalgas peladas ,NONE
-333478382,bargain,trato ,NONE
-333269475,barnaul,Barnaúl,PROPOSITIOIN
-333143113,barrier,barrera,NOUN
-333096647,horology,orologia,NOUN
-333067798,echolalia,ecolalia,NOUN
